Name,Description,API,Format Output,Cost,Get key,UI type,Response,Method,Need API KEY
СRAWL_URL_,Crawls a website and returns the content of the page and the content of the pages linked on the page,https://self.com/tools/crawl,"{
 ""type"": ""object"", 
""properties"": 
{ ""url"": 
{ ""type"": ""string"", 
""description"": ""The URL to be used."" 
}, 
""limit"": 
{ ""type"": ""integer"", 
""description"": ""An optional limit parameter, 
defaulting to 7."", ""default"": 7 }
 }, ""required"": [""url""],
 ""additionalProperties"": False }",16$,https://www.firecrawl.dev/app/api-keys,Text,,POST,No
MAP_URL_,Get all the links on the page,https://self.com/tools/map,"{
    ""type"": ""object"",
    ""properties"": {
        ""url"": {
            ""type"": ""string"",
            ""description"": ""The URL to be used.""
        }
    },
    ""required"": [""url""],
    ""additionalProperties"": False
}
",16$,https://www.firecrawl.dev/app/api-keys,Text,,POST,No
UNSTRUCTURE_TO_STRUCTURE_,Convert unstructured data to structured data based on the given schema.,https://self.com/tools/struct_str,"{
    ""type"": ""object"",
    ""properties"": {
        ""schema"": {
            ""type"": ""string"",
            ""description"": ""The schema identifier to be used.""
        },
        ""data"": {
            ""type"": ""string"",
            ""description"": ""The string data value.""
        }
    },
    ""required"": [""schema"", ""data""],
    ""additionalProperties"": False
}
",0,None,Text,,POST,No
UNSTRUCTURE_TO_STRUCTURE_ARRAY_,Convert unstructured data to structured data based on the given schema.,https://self.com/tools/struct_array,"{
    ""type"": ""object"",
    ""properties"": {
        ""schema"": {
            ""type"": ""string"",
            ""description"": ""The schema identifier to be used.""
        },
        ""data"": {
            ""type"": ""array"",
            ""items"": {
                ""type"": ""string""
            },
            ""description"": ""A list of string data values.""
        }
    },
    ""required"": [""schema"", ""data""],
    ""additionalProperties"": False
}
",0,None,Text,,POST,No
READ_FILE_,Reads any file you provide. Returns content as a string,https://self.com/tools/read,"{
    ""type"": ""object"",
    ""properties"": {
        ""file_name"": {
            ""type"": ""string"",
            ""format"": ""binary"",
            ""description"": ""Takes the content of any file you provide""
        }
    },
    ""required"": [""file_name""],
    ""additionalProperties"": False
}
",0,None,Text,,POST,No
IMAGE_TO_IMAGE_,Stable Diffusion V3 APIs Image2Image API generates an image from an image. Pass the appropriate request parameters to the endpoint to generate image from an image.,https://stablediffusionapi.com/api/v3/img2img,"{
    ""type"": ""object"",
    ""properties"": {
        ""prompt"": {
            ""type"": ""string"",
            ""description"": ""The prompt for the image generation.""
        },
        ""negative_prompt"": {
            ""type"": ""string"",
            ""description"": ""The negative prompt to guide the image generation away from certain concepts.""
        },
        ""init_image"": {
            ""type"": ""string"",
            ""description"": ""The path to the initial image to be used.""
        },
        ""width"": {
            ""type"": ""integer"",
            ""description"": ""Up to 1024.""
        },
        ""height"": {
            ""type"": ""integer"",
            ""description"": ""Up to 1024""
        },
        ""samples"": {
            ""type"": ""integer"",
            ""description"": ""Use any number from 1 to 4.""
        }
    },
    ""required"": [""key"", ""prompt"", ""negative_prompt"", ""init_image"", ""width"", ""height"", ""samples""],
    ""additionalProperties"": False
}
",27$ Monthly,https://modelslab.com/dashboard/apikeys,Image,,POST,Json
NEWS_SEARCH_,"Search through millions of articles from over 150,000 large and small news sources and blogs.",https://newsapi.org/v2/everything,"{
  ""type"": ""object"",
  ""properties"": {
    ""q"": {
      ""type"": ""string"",
      ""description"": ""The query string.""
    }
  },
  ""required"": [""q""],
  ""additionalProperties"": False
}
",0,https://newsapi.org/account,Text,,GET,Json
NEWS_TOP_HEADLINES_,"This endpoint provides live top and breaking headlines for a country, specific category in a country, single source, or multiple sources.",https://newsapi.org/v2/top-headlines,"{
  ""type"": ""object"",
  ""properties"": {
    ""country"": {
      ""type"": ""string"",
      ""description"": ""The 2-letter ISO 3166-1 code of the country you want to get headlines for. Possible options: us.""
    },
    ""category"": {
      ""type"": ""string"",
      ""description"": ""The category you want to get headlines for. Possible options: business, entertainment, general, health, science, sports, technology.""
    },
    ""sources"": {
      ""type"": ""string"",
      ""description"": ""A comma-separated string of identifiers for the news sources or blogs you want headlines from.""
    }
  },
 ""required"": [],
  ""additionalProperties"": False
}
",0,https://newsapi.org/account,Text,,GET,Json
NEWS_SOURSES,This endpoint returns the subset of news publishers that top headlines (/v2/top-headlines) are available from.,https://newsapi.org/v2/top-headlines/sources,"{
  ""type"": ""object"",
  ""properties"": {
    ""category"": {
      ""type"": ""string"",
      ""description"": ""Find sources that display news of this category. Possible options: business, entertainment, general, health, science, sports, technology. Default: all categories.""
    },
    ""language"": {
      ""type"": ""string"",
      ""description"": ""Find sources that display news in a specific language.""
    },
    ""country"": {
      ""type"": ""string"",
      ""description"": ""Find sources that display news in a specific country.""
    }
  },
 ""required"": [],
  ""additionalProperties"": False
}
",0,https://newsapi.org/account,Text,,GET,Json
CODE_INTERPRETER_,This function executes the code interpreter and returns the results.,https://self.com/tools/code,"{
            ""type"": ""object"",
            ""properties"": {
                ""code"": {
                    ""type"": ""string"",
                    ""description"": ""The python code to execute in a single cell.""
                }
            },
            ""required"": [""code""]
        }",0,https://e2b.dev/dashboard,Text,,POST,No
LOAD_FILE_CODE_INTERPRETER_,This function uploads a file to the code interpreter and returns the path.,https://self.com/tools/file_code,"{
            ""type"": ""object"",
            ""properties"": {
                ""file_url"": {
                    ""type"": ""string"",
                    ""description"": ""Url of the file you want to use in your code""
                }
            },
            ""required"": [""code""]
        }",0,https://e2b.dev/dashboard,Text,,POST,No
RAG_,RAG function that processes and indexes documents for efficient retrieval in NLP tasks.,https://self.com/tools/rag,"{
    ""type"": ""object"",
    ""properties"": {
      ""docs"": {
        ""type"": ""array"",
        ""items"": {
          ""type"": ""string""
        },
        ""description"": ""A list of documents to retrieve relevant information from.""
      }
    },
    ""required"": [""docs""]
  }",0,None,Text,,POST,No
LUMA_TEXT_TO_VIDEO_,Generate a video out of the text you provide,https://api.lumalabs.ai/dream-machine/v1/generations,"{
    ""type"": ""object"",
    ""properties"": {
        ""prompt"": {
            ""type"": ""string"",
            ""description"": ""Text to turn into a video""
        }
    },
    ""required"": [""prompt""],
    ""additionalProperties"": False
}",That is $0.0032 per frame or about $0.35 for 5s 24fps video at 1280×720p,https://lumalabs.ai/dream-machine/api/keys,Video,,POST,Bearer
LUMA_IMAGE_TO_VIDEO_,You give a prompt and an Image and model generats video out of it,https://api.lumalabs.ai/dream-machine/v1/generations,"{
    ""type"": ""object"",
    ""properties"": {
        ""prompt"": {
            ""type"": ""string"",
            ""description"": ""The prompt describing the scene.""
        },
        ""keyframes"": {
            ""type"": ""object"",
            ""properties"": {
                ""frame0"": {
                    ""type"": ""object"",
                    ""properties"": {
                        ""type"": {
                            ""type"": ""string"",
                            ""description"": ""The type of media, such as 'image'.""
                        },
                        ""url"": {
                            ""type"": ""string"",
                            ""format"": ""uri"",
                            ""description"": ""The URL of the image for the keyframe.""
                        }
                    },
                    ""required"": [""type"", ""url""],
                    ""additionalProperties"": false
                }
            },
            ""required"": [""frame0""],
            ""additionalProperties"": false
        }
    },
    ""required"": [""prompt"", ""keyframes""],
    ""additionalProperties"": false
}
",That is $0.0032 per frame or about $0.35 for 5s 24fps video at 1280×720p,https://lumalabs.ai/dream-machine/api/keys,Video,,POST,Bearer
